Time [s],Packet ID,Address,Data,Read/Write,ACK/NAK
0.0002060000,2,90,94,Write,ACK
0.0004080000,3,90,0,Read,NAK
0.0006170000,5,90,94,Write,ACK
0.0007100000,5,90,0,Write,ACK
0.0009160000,7,90,128,Write,ACK
0.0010100000,7,90,99,Write,ACK
0.0012160000,9,90,94,Write,ACK
0.0013090000,9,90,0,Write,ACK
0.0118290000,11,90,0,Write,ACK
0.0120310000,12,90,0,Read,NAK
0.0125310000,14,90,1,Write,ACK
0.0127330000,15,90,0,Read,NAK
0.0135310000,17,90,2,Write,ACK
0.0137330000,18,90,0,Read,NAK
0.0145310000,20,90,3,Write,ACK
0.0147340000,21,90,0,Read,NAK
0.0154070000,23,90,4,Write,ACK
0.0156100000,24,90,0,Read,NAK
0.0165320000,26,90,5,Write,ACK
0.0167340000,27,90,0,Read,NAK
0.0175320000,29,90,6,Write,ACK
0.0177340000,30,90,0,Read,NAK
0.0185320000,32,90,7,Write,ACK
0.0187340000,33,90,0,Read,NAK
0.0195320000,35,90,8,Write,ACK
0.0197350000,36,90,0,Read,NAK
0.0205330000,38,90,9,Write,ACK
0.0207350000,39,90,0,Read,NAK
0.0215330000,41,90,10,Write,ACK
0.0217350000,42,90,0,Read,NAK
0.0225330000,44,90,11,Write,ACK
0.0227360000,45,90,0,Read,NAK
0.0235330000,47,90,12,Write,ACK
0.0237360000,48,90,0,Read,NAK
0.0245340000,50,90,13,Write,ACK
0.0247360000,51,90,0,Read,NAK
0.0255340000,53,90,14,Write,ACK
0.0257360000,54,90,0,Read,NAK
0.0265340000,56,90,15,Write,ACK
0.0267360000,57,90,0,Read,NAK
0.0275350000,59,90,16,Write,ACK
0.0277370000,60,90,0,Read,NAK
0.0285350000,62,90,17,Write,ACK
0.0287370000,63,90,0,Read,NAK
0.0295350000,65,90,18,Write,ACK
0.0297380000,66,90,0,Read,NAK
0.0305360000,68,90,19,Write,ACK
0.0307380000,69,90,0,Read,NAK
0.0314530000,71,90,20,Write,ACK
0.0316550000,72,90,0,Read,NAK
0.0325360000,74,90,21,Write,ACK
0.0327380000,75,90,0,Read,NAK
0.0335360000,77,90,22,Write,ACK
0.0337390000,78,90,0,Read,NAK
0.0345370000,80,90,23,Write,ACK
0.0347390000,81,90,0,Read,NAK
0.0356560000,83,90,24,Write,ACK
0.0358580000,84,90,0,Read,NAK
0.0365970000,86,90,25,Write,ACK
0.0367990000,87,90,0,Read,NAK
0.0375370000,89,90,26,Write,ACK
0.0377390000,90,90,0,Read,NAK
0.0385370000,92,90,27,Write,ACK
0.0387400000,93,90,0,Read,NAK
0.0395380000,95,90,28,Write,ACK
0.0397400000,96,90,0,Read,NAK
0.0405380000,98,90,29,Write,ACK
0.0407400000,99,90,0,Read,NAK
0.0415380000,101,90,30,Write,ACK
0.0417400000,102,90,0,Read,NAK
0.0425380000,104,90,31,Write,ACK
