Time [s],Packet ID,Address,Data,Read/Write,ACK/NAK
0.0002110000,2,90,94,Write,ACK
0.0004170000,3,90,0,Read,NAK
0.0006310000,5,90,94,Write,ACK
0.0007260000,5,90,0,Write,ACK
0.0009370000,7,90,128,Write,ACK
0.0010330000,7,90,99,Write,ACK
0.0012440000,9,90,94,Write,ACK
0.0013390000,9,90,0,Write,ACK
0.0120980000,11,90,0,Write,ACK
0.0123050000,12,90,0,Read,NAK
0.0132180000,14,90,1,Write,ACK
0.0134250000,15,90,0,Read,NAK
0.0142180000,17,90,2,Write,ACK
0.0144250000,18,90,0,Read,NAK
0.0152190000,20,90,3,Write,ACK
0.0154250000,21,90,0,Read,NAK
0.0162190000,23,90,4,Write,ACK
0.0164250000,24,90,0,Read,NAK
0.0171360000,26,90,5,Write,ACK
0.0173430000,27,90,0,Read,NAK
0.0182790000,29,90,6,Write,ACK
0.0184850000,30,90,0,Read,NAK
0.0192200000,32,90,7,Write,ACK
0.0194260000,33,90,0,Read,NAK
0.0202200000,35,90,8,Write,ACK
0.0204270000,36,90,0,Read,NAK
0.0212200000,38,90,9,Write,ACK
0.0214270000,39,90,0,Read,NAK
0.0222200000,41,90,10,Write,ACK
0.0224270000,42,90,0,Read,NAK
0.0232200000,44,90,11,Write,ACK
0.0234270000,45,90,0,Read,NAK
0.0242200000,47,90,12,Write,ACK
0.0244270000,48,90,0,Read,NAK
0.0252210000,50,90,13,Write,ACK
0.0254280000,51,90,0,Read,NAK
0.0262210000,53,90,14,Write,ACK
0.0264280000,54,90,0,Read,NAK
0.0272210000,56,90,15,Write,ACK
0.0274280000,57,90,0,Read,NAK
0.0282220000,59,90,16,Write,ACK
0.0284290000,60,90,0,Read,NAK
0.0292220000,62,90,17,Write,ACK
0.0294290000,63,90,0,Read,NAK
0.0302230000,65,90,18,Write,ACK
0.0304290000,66,90,0,Read,NAK
0.0312230000,68,90,19,Write,ACK
0.0314300000,69,90,0,Read,NAK
0.0322230000,71,90,20,Write,ACK
0.0324300000,72,90,0,Read,NAK
0.0330990000,74,90,21,Write,ACK
0.0333060000,75,90,0,Read,NAK
0.0342230000,77,90,22,Write,ACK
0.0344300000,78,90,0,Read,NAK
0.0352240000,80,90,23,Write,ACK
0.0354300000,81,90,0,Read,NAK
0.0362240000,83,90,24,Write,ACK
0.0364300000,84,90,0,Read,NAK
0.0372240000,86,90,25,Write,ACK
0.0374310000,87,90,0,Read,NAK
0.0382240000,89,90,26,Write,ACK
0.0384310000,90,90,0,Read,NAK
0.0392250000,92,90,27,Write,ACK
0.0394310000,93,90,0,Read,NAK
0.0402250000,95,90,28,Write,ACK
0.0404310000,96,90,0,Read,NAK
0.0412250000,98,90,29,Write,ACK
0.0414320000,99,90,0,Read,NAK
0.0422250000,101,90,30,Write,ACK
0.0424320000,102,90,0,Read,NAK
0.0432250000,104,90,31,Write,ACK
0.0434320000,105,90,0,Read,NAK
0.0442260000,107,90,32,Write,ACK
0.0444320000,108,90,0,Read,NAK
0.0452260000,110,90,33,Write,ACK
0.0454330000,111,90,0,Read,NAK
0.0462260000,113,90,34,Write,ACK
0.0464330000,114,90,0,Read,NAK
0.0472260000,116,90,35,Write,ACK
0.0474330000,117,90,0,Read,NAK
0.0482260000,119,90,36,Write,ACK
0.0484330000,120,90,0,Read,NAK
0.0491440000,122,90,37,Write,ACK
0.0493500000,123,90,0,Read,NAK
0.0502270000,125,90,38,Write,ACK
0.0504340000,126,90,0,Read,NAK
0.0512270000,128,90,39,Write,ACK
0.0514340000,129,90,0,Read,NAK
0.0522270000,131,90,40,Write,ACK
0.0524340000,132,90,0,Read,NAK
0.0532280000,134,90,41,Write,ACK
0.0534340000,135,90,0,Read,NAK
0.0542280000,137,90,42,Write,ACK
0.0544340000,138,90,0,Read,NAK
0.0552280000,140,90,43,Write,ACK
0.0554350000,141,90,0,Read,NAK
0.0562280000,143,90,44,Write,ACK
0.0564350000,144,90,0,Read,NAK
0.0572280000,146,90,45,Write,ACK
0.0574350000,147,90,0,Read,NAK
0.0582280000,149,90,46,Write,ACK
0.0584350000,150,90,0,Read,NAK
0.0592290000,152,90,47,Write,ACK
0.0594350000,153,90,0,Read,NAK
0.0602290000,155,90,48,Write,ACK
0.0604360000,156,90,0,Read,NAK
0.0612290000,158,90,49,Write,ACK
0.0614360000,159,90,0,Read,NAK
0.0622300000,161,90,50,Write,ACK
0.0624360000,162,90,0,Read,NAK
0.0632300000,164,90,51,Write,ACK
0.0634360000,165,90,0,Read,NAK
0.0642300000,167,90,52,Write,ACK
0.0644370000,168,90,0,Read,NAK
0.0651050000,170,90,53,Write,ACK
0.0653120000,171,90,0,Read,NAK
0.0662300000,173,90,54,Write,ACK
0.0664370000,174,90,0,Read,NAK
0.0672300000,176,90,55,Write,ACK
0.0674370000,177,90,0,Read,NAK
0.0682310000,179,90,56,Write,ACK
0.0684370000,180,90,0,Read,NAK
0.0692310000,182,90,57,Write,ACK
0.0694380000,183,90,0,Read,NAK
0.0702310000,185,90,58,Write,ACK
0.0704380000,186,90,0,Read,NAK
0.0712310000,188,90,59,Write,ACK
0.0714380000,189,90,0,Read,NAK
0.0722320000,191,90,60,Write,ACK
0.0724380000,192,90,0,Read,NAK
0.0732920000,194,90,61,Write,ACK
0.0734980000,195,90,0,Read,NAK
0.0742320000,197,90,62,Write,ACK
0.0744390000,198,90,0,Read,NAK
0.0752320000,200,90,63,Write,ACK
0.0754390000,201,90,0,Read,NAK
0.0762320000,203,90,64,Write,ACK
0.0764390000,204,90,0,Read,NAK
0.0772330000,206,90,65,Write,ACK
0.0774390000,207,90,0,Read,NAK
0.0782330000,209,90,66,Write,ACK
0.0784400000,210,90,0,Read,NAK
0.0792330000,212,90,67,Write,ACK
0.0794400000,213,90,0,Read,NAK
0.0802330000,215,90,68,Write,ACK
0.0804400000,216,90,0,Read,NAK
