Id,Designator,Package,Quantity,Designation,Supplier,ref
1,"R20
R51
R21
R70
R71
R23
R24
R25
R26",R_0402_1005Metric,9,100K,digikey,https://www.digikey.co.uk/en/products/detail/stackpole-electronics-inc/RMCF0402JT100K/1758198
2,"C86
C83
C89
C82
C810
C88
C87C76
C10
C609
C606
C605
C601
C600
C611
C604
C608
C24
C602
C11
C607
C20
C610
C603
C70",C_0402_1005Metric,25,1uf,digikey,https://www.digikey.co.uk/en/products/detail/kemet/C0402C105K9PAC7800/1090778
3,TP71,TestPoint_Pad_D1.0mm,1,3.3V,na,
4,TP32,TestPoint_Pad_D1.0mm,1,BM83_LED2,na,
5,TP30,TestPoint_Pad_D1.0mm,1,BM83_MFB,na,
7,"C80
C85
C84
C81",C_0402_1005Metric,4,10nF,digikey,https://www.digikey.co.uk/en/products/detail/kemet/C0402C103K4RAC7411/12701226
8,TP33,TestPoint_Pad_D1.0mm,1,BM83_USB_DN,na,
9,J5,Hirose_DF52-5S-0.8H_1x05-1MP_P0.80mm_Horizontal,1,Conn_01x05_Female,have,
10,"C13
C12
C22
C23",C_0402_1005Metric,4,22pF,digikey,https://www.digikey.co.uk/en/products/detail/kemet/C0402C220K5GAC7867/2196444
11,"C75
C30
C50
C51
C74
C71
C90
C77
C72",C_0402_1005Metric,9,10uF,digikey,https://www.digikey.co.uk/en/products/detail/samsung-electro-mechanics/CL05A106MP5NUNC/3887108
12,TP34,TestPoint_Pad_D1.0mm,1,BM83_USB_DP,na,
13,TP70,TestPoint_Pad_D1.0mm,1,5V VBUS,na,
14,J11,Hirose_DF12_DF12C3.0-20DS-0.5V_2x10_P0.50mm_Vertical,1,Conn_01x20_Male,digikey,https://www.digikey.co.uk/en/products/detail/hirose-electric-co-ltd/DF12NC-20DS-0-5V-51/13547022
15,"R80
R84
R81
R85",R_0402_1005Metric,4,22,digikey,https://www.digikey.co.uk/en/products/detail/delta-electronics-cyntec/PFR05S-220-FNH/9761551
16,"R42
R41
R73",R_0402_1005Metric,3,10K,digikey,https://www.digikey.co.uk/en/products/detail/delta-electronics-cyntec/PFR05S-103-JNH/9761535
17,U3,BM83,1,BM83,have,
18,CN20,microSD_HC_Hirose_DM3D-SF,1,2908-05WB-M6,have,
19,L50,L_1210_3225Metric,1,4.7μH,digikey,https://www.digikey.co.uk/en/products/detail/murata-electronics/LQH32PB4R7NN0L/4420982
20,J80,Hirose_DF52-5S-0.8H_1x05-1MP_P0.80mm_Horizontal,1,Conn_01x04_Female,have,
21,"R82
R87
R83
R86",R_0402_1005Metric,4,100,digikey,https://www.digikey.co.uk/en/products/detail/stackpole-electronics-inc/RMCF0402FT100R/1761807
22,TP31,TestPoint_Pad_D1.0mm,1,BM83_LED1,na,
23,U8,max9725aetc&plus_,1,max9725aetc+,digikey,https://www.digikey.co.uk/en/products/detail/analog-devices-inc-maxim-integrated/MAX9725AETC/1495275
24,SW1,SW_Push_1P1T_NO_CK_KMR2,1,SPST_TACT-KMR2,m0 feather,
25,U6,SOT-23-5,1,AP22814AW5,digikey,alternate part: ap22811 : https://www.diodes.com/assets/Datasheets/AP22811.pdf
26,U2,LQFP-48_7x7mm_P0.5mm,1,VS1053B,have,
27,U4,UQFN-20_3x3mm_P0.4mm,1,MPR121Q,have,
28,X10,XTAL3215,1,32.768,m0 feather,
29,TP73,TestPoint_Pad_D1.0mm,1,GND,na,
30,"C40
C41
C91
C21",C_0402_1005Metric,4,0.1uF,digikey,https://www.digikey.co.uk/en/products/detail/samsung-electro-mechanics/CL05A104KA5NNNC/3886701
31,U5,TSOT-23-5,1,PAM2804,digikey,https://www.digikey.co.uk/en/products/detail/diodes-incorporated/PAM2804AAB010/4033351?s=N4IgTCBcDaIA4EMC2YAcAGALCAugXyA
32,R40,R_0402_1005Metric,1,75K,digikey,https://www.digikey.co.uk/en/products/detail/stackpole-electronics-inc/RMCF0402FT75K0/1714878
33,R50,R_0402_1005Metric,1,0.33,digikey,https://www.digikey.co.uk/en/products/detail/te-connectivity-passive-product/RL73N1ER33JTD/2364933
35,D10,LED_0603_1608Metric,1,RED,have,
36,TP72,TestPoint_Pad_D1.0mm,1,1.8V,na,
37,J81,Hirose_DF52-5S-0.8H_1x05-1MP_P0.80mm_Horizontal,1,Conn_01x02_Female,have,
38,U1,TQFN-48-1EP_7x7mm_P0.5mm_EP5.1x5.1mm,1,ATSAMD21G18_QFN,m0 feather,
39,CHG1,LED_0603_1608Metric,1,ORANGE,have,
40,"FB70
FB71",R_0805_2012Metric,2,FERITTE,digikey,https://www.digikey.co.uk/en/products/detail/fair-rite-products-corp/2508051217Y6/8594305
41,X20,CRYSTAL_3.2X2.5,1,ABM8G-12.288MHZ-4Y-T3,digikey,https://www.digikey.co.uk/en/products/detail/abracon-llc/ABM8G-12-288MHZ-4Y-T3/2623784?s=N4IgTCBcDaIIICECyAOA4gWgIxgHRhRSQAkAtDAFgE0MAVAZhAF0BfIA
42,R72,R_0402_1005Metric,1,1K,digikey,https://www.digikey.co.uk/en/products/detail/delta-electronics-cyntec/PFR05S-102-JNH/9761533
43,"D611
D605
D600
D607
D601
D606
D602
D604
D610
D608
D603
D609",LED_SK6812_EC15_1.5x1.5mm,12,SK6812,have,
44,"D71
D72",D_SOD-123,2,MBR120,m0 feather,
45,CN70,USB_Micro-B_Molex-105017-0001,1,microUSB,have,
46,U9,MP34DT01TR-M,1,MP34DT01TR-M,digikey,https://www.digikey.co.uk/en/products/detail/stmicroelectronics/IMP34DT05TR/9605994
47,U70,SOT-23-5,1,SPX3819-3.3,m0 feather,
48,U72,SOT-23-5,1,MCP73831T-2ACI/OT,m0 feather,
49,R60,R_0402_1005Metric,1,470,digikey,https://www.digikey.co.uk/en/products/detail/delta-electronics-cyntec/PFR05S-471-FNH/9761562
50,R22,R_0402_1005Metric,1,1M,digikey,https://www.digikey.co.uk/en/products/detail/delta-electronics-cyntec/PFR05S-105-JNH/9761539
51,U71,SOT-23-6,1,AP7312-1833W6-7,m0 feather,
53,J10,Hirose_DF12_DF12E3.0-20DP-0.5V_2x10_P0.50mm_Vertical,1,Conn_01x20_Female,digikey,https://www.digikey.co.uk/en/products/detail/hirose-electric-co-ltd/DF12NB-3-5-20DP-0-5V-51/13547066
54,R10,R_0402_1005Metric,1,2.2K,digikey,https://www.digikey.co.uk/en/products/detail/stackpole-electronics-inc/RMCF0402JT2K20/1712400
